Animal ID,Other Identifiers,Response Date,Country,State,County,Location,Latitude,Longitude,Vital Status,Species,Sex,AgeClass,Confirmed Entanglement,Entanglement Type,Entanglement Fishery Certainty,Entanglement Fishery Type,Gear Location - Body,Gear Location - Head,Gear Location - Mouth,Gear Location - Left Pec Flipper,Gear Location - Right Pec Flipper,Gear Location - Tailstock,Gear Location - Flukes,Gear Location - Unknown,Gear Material - Buoy,Gear Material - Rope,Gear Material - Trap,Gear Material - Monofilament,Gear Material - Net,Gear Material - Other,Gear Material - Unknown
20181203Mn,,12/3/18,USA,California,Marin,approx 1 mile off shore of Pelican Lake area near Drake's Bay,37.94277954,-122.8036118,Alive,Humpback Whale,Unknown,Unknown,Confirmed Entangled,Fishery,Confirmed,ComDungCrab,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No
20190324Er,,3/24/19,USA,Oregon,Lincoln,44 47.8’ / 124 09.59 4 nm west of Depoe Bay,44.79600143,-124.1598282,Alive,Gray Whale,Unknown,Unknown,Confirmed Entangled,Unknown,Unconfirmed,Unknown,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No
20190324Mn,,3/24/19,USA,California,Ventura,about 5 miles out of Port Hueneme,34.11399841,-119.3023529,Alive,Humpback Whale,Unknown,Unknown,Confirmed Entangled,Unknown,,,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
20190414Mn,,4/14/19,MEX,,,"Nopolo beach; Loreto, Baja Californa Sur, Mexico",,,,Humpback Whale,,,Confirmed Entangled,Fishery,Confirmed,ComDungCrab,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No
20190414Er,,4/14/19,USA,California,Orange,"Just North of Dana Point at 10:30, last seen at at 12:17pm off Victoria Beach, Laguna Beach",33.4666748,-117.7257919,Alive,Gray Whale,Unknown,Juvenile,Confirmed Entangled,Fishery,Confirmed,Gillnet,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No
20190420Er_1,,4/20/19,USA,California,Orange,1 mile south of Dana Point Harbor,33.4486618,-117.6748962,Alive/Dead,Gray Whale,Unknown,Juvenile,Confirmed Entangled,Fishery,,Gillnet,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No
20190504Er,,5/4/19,USA,California,San Luis Obispo,"4 miles 245° from Morro Rock, in 240ft depth; Morro Bay",35.33980179,-120.9411545,Alive,Gray Whale,Unknown,Unknown,Confirmed Entangled,Unknown,,,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes
20190505Mn,,5/5/19,USA,California,Santa Barbara,5 miles off of Goleta in Santa Barbara County,34.39283371,-120.121666,Alive,Humpback Whale,Unknown,Unknown,Confirmed Entangled,Unknown,,Unknown,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No
20190603Er,,6/3/19,USA,Washington,Snohomish,Kayak Point,48.14294815,-122.3653336,Alive,Gray Whale,Unknown,Unknown,Confirmed Entangled,Other,,,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No
20190612Er,,6/12/19,USA,Oregon,Curry,near Samuel Boardman State Park,42.1733017,-124.3658676,Dead,Gray Whale,Unknown,Calf,Confirmed Entangled,Fishery,,ComDungCrab,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No
20190629Mn,,6/29/19,USA,Washington,Clallam,off Swiftsure Bank,48.4734993,-124.9042587,Alive,Humpback Whale,Unknown,Juvenile,Confirmed Entangled,Unknown,,,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
20190709Mn,,7/9/19,USA,California,Marin,Approximately 25 miiles off of Point Reyes.,37.95410156,-123.468399,Alive,Humpback Whale,Unknown,Subadult,Confirmed Entangled,Fishery,Confirmed,ComDungCrab,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No
20190723Mn,CRC#16012 (Cascadia Research); MERS- Phi (Other),7/23/19,CAN,,,"Campbell River, British Columbia, crossed into US waters within 7/23-27/2019",49.90000153,-125.0500031,Alive,Humpback Whale,Unknown,Adult,Confirmed Entangled,Unknown,,,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No
20190801Mn,,8/1/19,USA,California,Monterey,4 miles off Monterey,36.67399979,-121.8679962,Alive,Humpback Whale,Unknown,,Confirmed Entangled,Fishery,Confirmed,ComDungCrab,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
20190803Ba,,8/3/19,USA,California,San Mateo,Approx 25 miles off Half Moon Bay,37.38779831,-122.9494019,Alive,Minke Whale,Unknown,Unknown,Confirmed Entangled,Unknown,,,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No
20190806Mn,,8/6/19,USA,California,Monterey,"Offshore of Marina, CA",36.68460464,-121.8497009,Alive,Humpback Whale,Unknown,Unknown,Confirmed Entangled,Unknown,,,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes
20190807Mn,,8/7/19,USA,California,Santa Barbara,Back side of Santa Cruz Island,33.85611725,-119.9262161,Alive/Dead,Humpback Whale,Unknown,Unknown,Confirmed Entangled,Fishery,Confirmed,ComDungCrab,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No
20190808Mn,,8/8/19,USA,Washington,Clallam,"Off Tatoosh Island, WA",48.38999939,-124.7929993,Alive,Humpback Whale,Unknown,Adult,Confirmed Entangled,Unknown,,,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No
20190812Mn,CRC-15507; HW MN0500613; OSUWTG-MnCA-091,8/12/19,USA,California,Monterey,Monterey Bay,,,Alive,Humpback Whale,Unknown,Unknown,Confirmed Entangled,Fishery,,Unknown,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No
20190815Mn,,8/15/19,USA,California,Monterey,Monterey Bay (NEED LAT LONG),,,Alive,Humpback Whale,Unknown,Unknown,Confirmed Entangled,Unknown,,,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No
20190906Er,Roller skate; ErPNW-344,9/6/19,USA,Oregon,Lincoln,"Off Cape Foulweather, just north of Gull Rock",44.76288986,-124.0735931,Alive,Gray Whale,Female,Unknown,Confirmed Entangled,Unknown,,,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
20190913Er,,9/13/19,USA,Oregon,Lincoln,Depoe Bay - south end near Flat Rock,44.80450058,-124.0709991,Alive,Gray Whale,Unknown,Unknown,Confirmed Entangled,Unknown,,,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
20191002Mn,,10/2/19,USA,California,Orange,about 3 miles south of China Pt headed towards San Clemente Island. China Point is Southwestern point of San Clemente Island,32.75,-118.4160004,Alive,Humpback Whale,Unknown,Unknown,Confirmed Entangled,Unknown,,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes
20191023Mn,TMMC-C-634; HSU20191023-PL27,10/23/19,USA,California,Humboldt,Samoa Beach Eureka CA,40.82590103,-124.1880035,Alive,Humpback Whale,Female,Subadult,Confirmed Entangled,Fishery,Confirmed,ComDungCrab,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No
20191121Mn,,11/21/19,USA,California,San Diego,approx. half mile off of La Jolla Cove Point area,32.85292816,-117.2833557,Alive,Humpback Whale,Unknown,,Confirmed Entangled,Fishery,Confirmed,Other,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No
20191204Mn,,12/4/19,USA,California,Santa Cruz,3.5 miles due south of the Twin lakes area of Santa Cruz (SSE of the Wharf and 6 miles WSW of La Selva Beach),36.90733337,-121.9962311,Alive,Humpback Whale,Unknown,Unknown,Confirmed Entangled,Unknown,,,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
20191209Mn,,12/9/19,USA,California,Santa Cruz,Santa Cruz,36.88299942,-122.0432968,Alive,Humpback Whale,Unknown,Unknown,Confirmed Entangled,Fishery,Confirmed,RecDungCrab,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
