National Database Number,Field Number,Common Name,State,County,City,Locality Detail,Latitude,Latitude Units,Longitude,Longitude Units,Findings of Human Interaction,Boat Collision,Shot,Fishery Interaction,Fishery Type,Other Human Interaction,Other Human Int Description,Other Human Int Type,How Determined: External Exam,How Determined: Internal Exam,How Determined: Necropsy,How Determined: Other,How Determined: Describe,Gear Collection,Other Findings upon Level Y/N,Other Findings - Illness Flag,Other Findings - Injury,Other Findings - Pregnant,Other Findings - Other,Other Findings - Descibe,Other Findings Type,Other Findings - Descibe,Observation Date,How Observed,Observation Status,Not Able to Examine,Date of Examination,Condition at Examination,Left at Site,Immediate Release at Site,Relocated,Disentangled,Euthanized at Site,Died at Site,Transferred to Rehabilitation,Date of Initial Disposition,Rehab Facility Name,Died During Transport,Euthanized During Transport,Other,Other Describe,Sick,Injured,Out of Habitat,Deemed Healthy/Releasable,Abandoned/Orphaned,Inaccesible,Location Hazardous to Animal,Location Hazardous Public,Unknown/CBD ,Condition Other,Condition Other Description,Entangled,Condition Comments,Sex,Age Class,Length,Length Units,Length actual/estimate,Weight,Weight Units,Weight actual/estimate,Photos/Videos Taken,Carcass Left at Site,Carcass Buried,Carcass Rendered,Carcass Towed,Carcass Towed Lattitude,Carcass Towed Longitude,Carcass Sunk,Carcass Sunk Lattitude,Carcass Sunk Longitude,Carcass Frozen for Later Exam,Carcass Landfill,Carcass Unknown,Carcass Other,Carcass Other Description,Necropsied,Necropsy Limited,Date of Necropsy,Additional Remarks,
SW-2015-1177815,CAS-SDS-003,"Whale, gray",CA,Mendocino,Fort Bragg,Beach south of Hare Creek,39.414132,decimal degrees,-123.814837,decimal degrees,Y,N,N,N,,Y,missing flukes,,N,N,N,N,,N,CBD,N,N,N,N,,,,5/19/15,Beach or Land,Moderate Decomposition,N,5/21/15,Moderate Decomposition,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,FEMALE,ADULT,955,cm,actual,,,,Y,Y,N,N,N,,,N,,,N,N,N,N,,N,,,,
SW-2015-1177818,CAS-Er-21May15-PLW,"Whale, gray",CA,Sonoma,Jenner,Beach across from Muniz Ranches,38.4638,decimal degrees,-123.1575,decimal degrees,CBD,N,N,N,,N,,,N,N,N,N,,,CBD,N,N,N,N,,,,5/21/15,Beach or Land,Moderate Decomposition,Y,,,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,UNKNOWN,PUP/CALF,500,cm,estimate,,,,Y,Y,N,N,N,,,N,,,N,N,N,N,,N,,,"Observed from nearby cliff only, no access to beach. Size estimated by photos.",
SW-2015-1177824,CAS-MEF-741,"Whale, gray",CA,Sonoma,Bodega Bay,Portuguese Beach,38.378425,decimal degrees,-123.081463,decimal degrees,Y,N,N,N,,Y,post-mortem propeller wounds,,Y,N,N,N,,,Y,N,Y,N,N,Orca predation,,,5/23/15,Beach or Land,Moderate Decomposition,N,5/26/15,Moderate Decomposition,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,MALE,SUBADULT,850,cm,actual,,,,Y,Y,N,N,N,,,N,,,N,N,N,N,,N,,,Too decomposed for necropsy. External exam with limited blubber examination attached.,
SW-2015-1177834,CAS-SAC-006,"Whale, gray",CA,Marin,Inverness,"South Beach, ~1 mile south of parking lot, Point Reyes National Seashore",38.025,decimal degrees,-122.999722,decimal degrees,CBD,N,N,N,,N,,,N,N,N,N,,,CBD,N,N,N,N,,,,5/26/15,Beach or Land,Advanced Decomposition,N,5/26/15,Advanced Decomposition,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,UNKNOWN,PUP/CALF,550,cm,estimate,,,,Y,Y,N,N,N,,,N,,,N,N,N,N,,N,,,"Too decomposed to necropsy, missing head.",
SW-2015-1174026,CICRU-2015-15,"Whale, gray",CA,San Luis Obispo,Morro Bay,Sandspit,35.3751,decimal degrees,-120.8619,decimal degrees,CBD,N,N,N,,N,,,N,N,N,N,,,,N,N,N,N,,,,6/15/15,Beach or Land,Mummified/Skeletal,Y,,,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,UNKNOWN,,1,cm,estimate,,,,Y,Y,N,N,N,,,N,,,N,N,N,N,,N,,,,
SW-2015-1178668,TMMC-C-466,"Whale, humpback",CA,San Mateo,Pacifica,Esplanade Beach (Sharp Park),37.65079,decimal degrees,-122.49366,decimal degrees,Y,Y,N,N,,N,,,Y,N,Y,Y,,N,Y,Y,Y,N,N,"trauma, domoic acid toxicity",,,8/2/15,Beach or Land,Moderate Decomposition,N,8/2/15,Moderate Decomposition,N,N,N,N,N,N,N,,The Marine Mammal Center,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,MALE,SUBADULT,1177,cm,actual,,kg,estimate,Y,Y,N,N,N,,,N,,,N,N,N,N,,Y,limited,8/2/15,,
SW-2015-1179271,WCRLB-C-2015-03,"Whale, sei",CA,Los Angeles,Los Angeles,"Wilmington, Port of LA, Berth 194",33.76425,decimal degrees,-118.25645,decimal degrees,Y,Y,N,N,,N,,,Y,N,N,N,,N,CBD,N,N,N,N,,,,8/12/15,Floating,Moderate Decomposition,N,8/13/15,Moderate Decomposition,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,UNKNOWN,SUBADULT,1375,cm,estimate,,,,Y,N,N,N,Y,,,N,,,N,N,N,N,,N,,,"Animal was in a state on moderate decomposition, mildly bloated with sloughing skin. Jaws appeared to be partially separated. The carcass appeared to have an ""indent"" on the body just behind the throat grooves on the right ventral surface. There was no external signs of hemorrhaging in the surrounding surface tissue (See photos). Right flipper was snapped in half. There were no signs of hemorrhaging or blood in the bone or surrounding tissue of the flipper (See photo). Lack of hemorrhaging suggests that this was a post-mortem vessel collision.",
SW-2015-1178656,TMMC-C-473,"Whale, fin",CA,Alameda,Oakland,,37.79122,decimal degrees,-122.2768,decimal degrees,Y,Y,N,N,,Y,", Hit by boat",,Y,N,Y,N,,N,Y,N,Y,N,N,,,,8/24/15,Beach or Land,Fresh Dead,N,8/26/15,Moderate Decomposition,N,N,N,N,N,N,N,,The Marine Mammal Center,N,N,N,,N,Y,N,N,N,N,N,N,N,N,,,,MALE,SUBADULT,159,cm,actual,,kg,estimate,N,Y,N,N,N,,,N,,,N,N,N,N,,Y,limited,8/28/15,"Potentially the same whale that was stuck on bow of boat on 8/24. Tow location Angel Island, 37.855376, -122427991",
SW-2015-1179933,TMMC-C-477,"Whale, gray",CA,Alameda,Fremont,,37.557825,decimal degrees,-122.126729,decimal degrees,Y,Y,N,N,,N,,,Y,N,Y,Y,Report of boat striking a whale,N,Y,N,Y,N,N,,,,9/16/15,Beach or Land,Fresh Dead,N,9/24/15,Moderate Decomposition,N,N,N,N,N,N,N,,The Marine Mammal Center,N,N,N,,N,Y,N,N,N,N,N,N,N,N,,,,FEMALE,SUBADULT,660,cm,estimate,,kg,estimate,Y,Y,N,N,N,,,N,,,N,N,N,N,,Y,limited,9/24/15,On 9/16/15 there was a report that a boat struck a whale in the Oakland Estuary between the outbound bouys 3 and 5. There was blood seen in the water and the whale dove after being struck. The boat prop was bent in the strike. On 9/19/15 the whale was resighted but deceased floating 1-2 miles south of the San Mateo Bridge in the shipping channel near marker 12. On the 9/23 the whale washed ashore at Coyote Hills Regional Park. On 9/24/15 a necropsy was performed at shoreline of Coyote Hills Regional Park. There were no reports of a whale inside the bay during this time frame and due to the lacerations on the dorsal ridge this is the same whale that was struck.,
SW-2015-1176438,MLML-MM-2943,"Whale, humpback",CA,Monterey,Monterey,Lovers Point,36.622878,decimal degrees,-121.907986,decimal degrees,CBD,N,N,N,,N,,,Y,N,N,N,,N,CBD,N,N,N,N,,,,9/17/15,Beach or Land,Advanced Decomposition,Y,,,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,UNKNOWN,YEARLING,240,in,estimate,,,,Y,Y,N,N,Y,,,N,,,N,N,N,N,,N,,,,
SW-2015-1181328,CICRU-2015-31,"Whale, gray",CA,Santa Barbara,Santa Barbara,East Beach in front of Rainbow Arch,34.4155,decimal degrees,-119.6748,decimal degrees,CBD,N,N,N,,N,,,N,N,N,N,,,,N,N,N,N,,,,10/7/15,Floating,Fresh Dead,Y,,,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,MALE,SUBADULT,570,cm,estimate,,,,Y,N,N,N,Y,,,N,,,N,N,N,N,,N,,,,
SW-2015-1181339,CAS-Mn-10Oct15-SLP,"Whale, humpback",CA,San Mateo,Pescadero,100 yards north of Pescadero Rd,37.262458,decimal degrees,-122.413028,decimal degrees,CBD,N,N,N,,N,,,N,N,N,N,,,CBD,N,N,N,N,,,,10/10/15,,Advanced Decomposition,Y,,,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,UNKNOWN,,1,cm,estimate,,,,Y,N,N,N,N,,,N,,,N,N,N,Y,washed out,N,,,"Identified by photos provided by the reporting party. 09/19/15, a Humpback was reported floating dead offshore of Half Moon Bay and drifting south. It is not confirmed that this animal is the same as the floater.",
SW-2015-1180004,TMMC-C-479,"Whale, gray",CA,Sonoma,Bodega,Blind Beach ( Sonoma Coast State Beaches ),38.4338,decimal degrees,-123.1218,decimal degrees,N,N,N,N,,N,,,Y,N,Y,N,,N,Y,Y,N,N,N,malnutrition,,,10/21/15,Beach or Land,Fresh Dead,N,10/22/15,Fresh Dead,N,N,N,N,N,N,N,,The Marine Mammal Center,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,FEMALE,SUBADULT,814,cm,actual,0,kg,estimate,Y,Y,N,N,N,,,N,,,N,N,N,N,,Y,limited,10/22/15,,
SW-2015-1179932,MLMLMM2951,"Whale, humpback",CA,Monterey,Big Sur,"Sand Dollar Beach, Big Sur",36.81048,decimal degrees,-121.79026,decimal degrees,CBD,N,N,N,,N,,,Y,N,N,N,,N,CBD,N,N,N,N,,,,10/21/15,Beach or Land,Advanced Decomposition,N,10/21/15,Advanced Decomposition,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,MALE,PUP/CALF,1240,cm,actual,,,,Y,N,N,N,N,,,N,,,N,N,N,N,,N,,,Blubber Sample collected from ventral side near tail. Small skin for DMSO from fore flipper (left side). Very decayed.,
SW-2015-1187428,LMLMN2015NOV14,"Whale, humpback",CA,Santa Cruz,Watsonville,Pajaro Dunes. plover circle,36.862012,decimal degrees,-121.818274,decimal degrees,CBD,N,N,N,,N,,,Y,N,N,N,,N,CBD,N,N,N,N,,,,11/14/15,Beach or Land,Advanced Decomposition,N,11/14/15,Advanced Decomposition,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,MALE,UNKNOWN,803,cm,estimate,,,,Y,Y,N,N,N,,,N,,,N,N,N,N,,N,,,carcass too large to move and in a very curved position so straight length could not be taken accurately.,
SW-2015-1180558,SWFSC-NEB0079,"Whale, gray",CA,San Diego,Solana Beach,Del Mar Shores Terrace Access,32.981111,decimal degrees,-117.272611,decimal degrees,CBD,N,N,N,,N,,,Y,N,N,N,,N,CBD,N,N,N,N,,,,12/9/15,Floating,Moderate Decomposition,N,12/11/15,Advanced Decomposition,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,FEMALE,YEARLING,754,cm,actual,,,,Y,N,N,N,N,,,N,,,N,Y,N,N,,N,,,Coast Guard reported this whale floating belly up 3nmi offshore Del Mar on the evening of 12/9/2015. Yearling designation based on full size barnacles present and total length of whale is greater than mean northbound calf length (per W. Perryman data).,
SW-2015-1181707,LACM-DSJ-2367,"Whale, gray",CA,Los Angeles,Santa Monica,N side of pier,34.009022,decimal degrees,-118.498248,decimal degrees,CBD,N,N,N,,N,,,N,N,N,N,,,,N,N,N,N,,,,12/22/15,,Moderate Decomposition,N,12/22/15,Moderate Decomposition,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,MALE,,345,cm,actual,,,,Y,Y,N,N,N,,,N,,,N,N,N,N,,N,,,,
SW-2016-1181708,LACM-DSJ-2368,"Whale, humpback",CA,Orange,Sunset Beach,7th Street,33.713853,decimal degrees,-118.068789,decimal degrees,N,N,N,N,,N,,,N,N,N,N,,N,N,N,N,N,N,,,,1/13/16,Floating,Moderate Decomposition,N,1/15/16,Moderate Decomposition,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,MALE,YEARLING,800,cm,actual,,,,Y,N,Y,N,N,,,N,33.713853,-118.068789,N,N,N,N,,Y,limited,1/15/16,,
SW-2016-1182394,CAS-DJG-019,"Whale, humpback",CA,San Mateo,San Gregorio,~1.5 miles north of San Gregorio State Beach parking lot,37.344632,decimal degrees,-122.40129,decimal degrees,CBD,N,N,N,,N,,,N,N,Y,N,,,Y,N,Y,N,N,Area of focal necrotic tissue indicative of injury,,,2/16/16,Beach or Land,Moderate Decomposition,N,2/19/16,Moderate Decomposition,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,FEMALE,SUBADULT,835,cm,actual,,,,Y,Y,N,N,N,,,N,,,N,N,N,N,,Y,limited,2/19/16,,
SW-2016-1182900,SWFSC-KXD0287,"Whale, humpback",CA,San Diego,Coronado,"Silver Strand State Beach, middle parking lot",32.634061,decimal degrees,-117.142444,decimal degrees,Y,Y,N,Y,,N,,,Y,N,Y,N,,N,N,N,Y,N,N,fractured vertebral disk and scapula w/ associated hemorrage,,,3/4/16,Floating,Fresh Dead,N,3/8/16,Advanced Decomposition,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,MALE,YEARLING,720,cm,actual,,,,Y,N,N,N,N,,,N,,,N,Y,N,N,,Y,limited,3/8/16,"This whale was sighted on 3/4 by Coast Guard, then 3/5/2016 by diver 9.3 nm west of Point Loma, at 32.680800, -117.431267. Linear scars on leading edge of flukes and caudal peduncle indicate this whale was entangled in the past, but was not likely the cause of death. Fractured intervertebral disk and scapula with associated hemorrhage in blubber and muscle indicates trauma, possibly attributed to a ship.",
SW-2016-1183700,HSU20160325-KG2,"Whale, gray",CA,Del Norte,Crescent City,"Approximately 1 mile N of Point St. George on Kellogg Beach, adjacent to Tolowa Dunes State Park.",41.7919,decimal degrees,-124.2442,decimal degrees,CBD,N,N,N,,N,,,N,N,N,N,,N,N,N,N,N,N,,,,3/24/16,Beach or Land,Moderate Decomposition,N,3/25/16,Moderate Decomposition,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,FEMALE,ADULT,1127,cm,actual,,,,Y,Y,N,N,N,,,N,,,N,N,N,N,,N,,,"Carcass first observed by McKenzie Amos 24MAR16 on Tolowa Dunes State Park, Kellogg Beach. 1 - 1/2 mile north of Point St. George. Moderately decomposed, laying on left lateral surface with right side exposed. No visible signs of injury/illness on external exam of visible surfaces. Morphometric data collected. Lice and barnacles alive and moving throughout carcass with some evidence of barnacles missing in some areas. Large white patches apparent over entire visible carcass. Healed rake marks apparent on pectorals and fluke. Fluke width 265cm. lobe depth 104cm, notch 94cm, dorsal blubber thickness 8.0cm, right lateral blubber thickness 8.1cm. Collected blubber samples from right lateral, slightly posterior to dorsal ridge. Samples frozen and all stored in tin foil except one blubber/dermis sample. Barnacles and lice collected, stored frozen. 13 Biopsy samples collected to compare differences between biopsy tips.",
SW-2016-1183625,SWFSC-NEB0083,"Whale, gray",CA,San Diego,La Jolla,Torrey Pines State Beach,32.9181,decimal degrees,-117.2591,decimal degrees,Y,Y,N,N,,N,,,Y,N,N,N,,N,CBD,N,N,N,N,,,Organs friable and difficult to identify,3/24/16,Beach or Land,Moderate Decomposition,N,3/24/16,Moderate Decomposition,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,FEMALE,SUBADULT,880,cm,actual,,,,Y,N,N,N,N,,,N,,,N,Y,N,N,,N,,,"""s"" shaped lacerations along left lateral side at abdominal (6) and peduncle (6)indicate this animal was hit by a ship, although it is not clear if this happened before or after death.",
SW-2016-1195258,WCRLB-20160330Unk,"Whale, unidentified baleen",CA,San Diego,,West of San Clemente Island,32.871833,decimal degrees,-118.771333,decimal degrees,CBD,N,N,N,,N,,,N,N,N,N,,N,CBD,N,N,N,N,,,,3/30/16,Floating,Condition Unknown,Y,,,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,UNKNOWN,UNKNOWN,3000,cm,estimate,,,,N,Y,N,N,N,,,N,,,N,N,N,N,,N,,,Navy helicopter reported sighting a floating large whale carcass. No Navy ships around. No photographs taken.,
SW-2016-1198464,LMLER2016APR22,"Whale, gray",CA,Santa Cruz,Aptos,Beer Can Beach,36.95466,decimal degrees,-121.88551,decimal degrees,CBD,N,N,N,,N,,,Y,N,N,N,,N,CBD,N,N,N,N,,,,4/22/16,Beach or Land,Advanced Decomposition,N,4/22/16,Advanced Decomposition,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,FEMALE,PUP/CALF,376,cm,actual,,,,Y,Y,N,N,N,,,N,,,N,N,N,N,,N,,,numerous rake marks. Bites out of carcass. no head. orca predation. brown twine attached to caudal peduncle.,
SW-2016-1185078,CAS-Mn-23Apr16-SDS,"Whale, humpback",CA,Mendocino,Elk,Highway 1 at mile marker 36.5 at Cavanaugh grade,39.153215,decimal degrees,-123.736673,decimal degrees,CBD,N,N,N,,N,,,N,N,N,N,,N,CBD,N,N,N,N,,,,4/23/16,Beach or Land,Moderate Decomposition,Y,,,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,MALE,PUP/CALF,400,cm,estimate,,,,Y,Y,N,N,N,,,N,,,N,N,N,N,,N,,,on a beach that is not accessible from the cliff. Drone footage used to determine age class and gender.,
SW-2016-1184775,SWFSC-KXD0289,"Whale, gray",CA,San Diego,San Onofre State Beac,Lower Trestles,33.382737,decimal degrees,-117.588211,decimal degrees,CBD,N,N,N,,N,,,Y,N,N,N,,N,CBD,N,N,N,N,,,,4/24/16,Beach or Land,Moderate Decomposition,N,4/25/16,Advanced Decomposition,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,FEMALE,ADULT,1310,cm,actual,,,,Y,N,N,N,N,,,N,,,N,N,Y,N,,N,,,Human Interaction Form completed.,
SW-2016-1198472,LMLMN2016MAY03,"Whale, humpback",CA,Santa Cruz,Santa Cruz,"In Kelp, appx 300 yds W of Mitchells Cove",36.948744,decimal degrees,-122.035324,decimal degrees,CBD,N,N,N,,N,,,Y,N,N,N,,N,CBD,N,N,N,N,,,,5/3/16,Floating,Fresh Dead,N,5/3/16,Fresh Dead,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,MALE,ADULT,1371.6,cm,estimate,,,,Y,N,N,N,Y,36.862,-122.343,N,,,N,N,N,N,,N,,,"upon in-water evaluation/examination, no obvious signs of boatstrike, entanglement, or orca predation were observed Carcass towed out to sea by city of Santa Cruz (Vessel Assist) Wednesday AM, 5/4/16",
SW-2016-1185537,CAS-Er-16May16-MEF,"Whale, gray",CA,Sonoma,Bodega Bay,"South Salmon Creek Beach, approximately 200 yards south of Bean Avenue entrance.",38.348816,decimal degrees,-123.067831,decimal degrees,CBD,N,N,N,,N,,,Y,N,N,N,,N,CBD,N,N,N,N,,,,5/16/16,Floating,Fresh Dead,Y,,,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,MALE,PUP/CALF,762,cm,estimate,,,,Y,N,N,N,N,,,N,,,N,N,N,Y,Washed out,N,,,"Probable Orca Attack. On 18 May 2016, a report came out in the Press Democrat online with a video of a pod of 4-6 Orca attacking a Gray Whale calf with its mother on 14 May 2016 along the Sonoma Coast off of Carmet beach. Based on video stills and photos from this carcass on the beach, as well as the many rake marks on the carcass, it was most likely the same animal in both the orca attack on 14 May 2016 and the carcass on the beach on 16 May 2016.",
SW-2016-1186368,HSU20160517-TR9,"Whale, humpback",CA,Humboldt,Trinidad,"1/2 mile south of Scottys Point, north of Trinidad.",41.100052,decimal degrees,-124.161881,decimal degrees,CBD,N,N,N,,N,,,N,N,N,N,,,CBD,N,N,N,N,,,,5/16/16,Beach or Land,Moderate Decomposition,N,5/17/16,Moderate Decomposition,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,FEMALE,SUBADULT,840,cm,estimate,,,,Y,Y,N,N,N,,,N,,,N,N,N,N,,N,,,"Carcass located in the rocky intertidal zone south of Scotty's Point. No visible injury or signs of illness on external examination of exposed surfaces. light scavenging, carcass entirely submerged at high tide except for fluke. Fluke notch appears to be slightly asymmetrical but may be due to decomposition or carcass coming ashore on rocky coastline. Left pectoral fin had exposed bone, metacarpals visible. Cause CBD. Collected blubber and feces.",
SW-2016-1185732,HSU20160523-SC1,"Whale, gray",CA,Humboldt,Shelter Cove,"Black Sands Beach, 1/4-1/2 mile North from parking overlook area.",40.050334,decimal degrees,-124.07984,decimal degrees,Y,N,N,N,,Y,Baleen missing from L/R middle on initial observation.,,Y,N,N,N,,N,Y,N,Y,N,N,Many superficial lacerations.,,,5/22/16,Beach or Land,Fresh Dead,N,5/23/16,Fresh Dead,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,FEMALE,PUP/CALF,625,cm,estimate,,,,Y,Y,N,N,N,,,N,,,N,N,N,N,,N,,,"Carcass first reported to HSU MMSP 3:30 pm on 5/23/16 by the Shelter Cove Fire Station. Initial reports suspected live stranding but after conducting further interviews with the public, it was seen dead stranded at the earliest sighting around 11:30 am on 5/22/2016 by backpackers. Other members of the public stated that there had been a gray whale in Shelter Cove harbor reportedly being attacked by sharks. However no one was able to provide photos or video of the event to confirm this event or provide photos for ID confirmation of the same individual. On initial observation the carcass was fresh with multiple superficial lacerations on peduncle, flukes and pectorals consistent with rake marks. Blood bubbling out of blowhole but no large wounds visible. Limited signs of scavenging, lighter superficial lacerations with no active bleeding observed on left dorsal and lateral surface. Possible signs of bear scavenging attempts. Bear tracks reportedly observed nearby but not observed by HSU responders.",
SW-2016-1195260,WCRLB-20160605Mn,"Whale, humpback",CA,San Luis Obispo,Cayucos,"Floating in a kelp paddy about 100 yards outside the surf break, Northwest of Cayucos",,decimal degrees,,decimal degrees,CBD,N,N,N,,N,,,N,N,N,N,,N,CBD,N,N,N,N,,,,6/5/16,Floating,Advanced Decomposition,Y,,,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,UNKNOWN,UNKNOWN,1,cm,actual,,,,Y,Y,N,N,N,,,N,,,N,N,N,N,,N,,,,
SW-2016-1190046,HSU20160607-MR20,"Whale, humpback",CA,Humboldt,McKinleyville,2.5 Miles North of Mad River Parking lot,40.960235,decimal degrees,-124.123851,decimal degrees,CBD,N,N,N,,N,,,N,N,N,N,,N,CBD,N,N,N,N,,,,6/7/16,Beach or Land,Moderate Decomposition,N,6/7/16,Moderate Decomposition,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,MALE,PUP/CALF,763,cm,actual,,,,Y,Y,N,N,N,,,N,,,N,N,N,N,,N,,,"Reported 6/6/2016 via NCMMC, carcass was moderately decomposed on initial examination by HSU MMSP. Visible fetal folds on caudal peduncle and fresh, partially healed and healed scars throughout the carcass. Many small laceration, cause unknown, all of various depths and lengths, did not penetrate into muscle but some extended to muscle layer but not beyond. Unclear if these lacerations occurred before or after death. Possible wound or site of injury near umbilicus apparent on ventral surface with exposed muscle tissue, into the base of the gular pouch. Visible necrotic tissue present near umbilicus where possible segments of umbilicus still attached but CBD with out further tissue sample testing. Healed rake marks present on the right fluke, located on dorsal and ventral surfaces. Collected blubber from exposed surface, left lateral at mid length, posterior to dorsal and pecoral fin. collected ecoto parasitles, feces, and left eye for potential analysis.",
SW-2016-1190489,CICRU-2016-06,"Whale, humpback",CA,Ventura,Ventura,,,decimal degrees,,decimal degrees,CBD,N,N,N,,N,,,N,N,N,N,,,,N,N,N,N,,,,6/7/16,Floating,Advanced Decomposition,Y,,,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,UNKNOWN,UNKNOWN,1,cm,estimate,,,,Y,Y,N,N,N,,,N,,,N,N,N,N,,N,,,,
SW-2016-1186898,CICRU-2016-05,"Whale, humpback",CA,Ventura,Ventura,Harbor Jetty towards Marina Park,34.249,decimal degrees,-119.27,decimal degrees,CBD,N,N,N,,N,,,N,N,N,N,,,,N,N,N,N,,,,6/7/16,,Moderate Decomposition,N,6/7/16,Moderate Decomposition,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,MALE,YEARLING,700,cm,estimate,,,,Y,N,N,N,Y,,,N,,,N,N,N,N,,N,,,,
SW-2016-1187166,LACM-DSJ-2379,"Whale, humpback",CA,Los Angeles,San Pedro,San Pedro; Los Angeles Harbor,,decimal degrees,,decimal degrees,Y,Y,N,N,,N,,,Y,N,Y,Y,Came in on the bulbous bow,N,N,N,N,N,N,,,,6/14/16,Floating,Fresh Dead,N,6/15/16,Moderate Decomposition,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,FEMALE,ADULT,1469,cm,actual,,,,Y,N,N,N,Y,,,N,,,N,N,N,N,,N,,,"Came into Los Angeles Harbor on the bow of the ship CMA CGM Nabucco. Working location and limited time for sampling before animal was towed out of the harbor prevented us from preforming full necropy. Contact Justin Viezbicke at the Long Beach office for sampling details. Ship tracker data shows a reduction in speed and a 360° maneuver might indicate the animal was struck at 34° 26' 52.5"" N, 125° 23' 01.0"" W.",
SW-2016-1188288,CAS-DJG-021,"Whale, gray",CA,San Francisco,San Francisco,Floating between China Beach and Lands End. Towed to Angel Island by the Army Corp of Engineers.,37.80692,decimal degrees,-122.502808,decimal degrees,CBD,N,N,N,,N,,,Y,N,N,N,,N,CBD,N,N,N,N,,,,6/20/16,Floating,Fresh Dead,N,7/7/16,Moderate Decomposition,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,MALE,PUP/CALF,725,cm,actual,,,,Y,Y,N,N,N,,,N,,,N,N,N,N,,Y,limited,7/7/16,"skin for genetics and feces for biotoxin analysis to TMMC both mandibles, all cervical vertebrae, both ear bones (and ear plugs), 1 pelvic bone to CAS",
