National Database Number,Field Number,Common Name,State,County,City,Locality Detail,Latitude,Latitude Units,Longitude,Longitude Units,Findings of Human Interaction,Boat Collision,Shot,Fishery Interaction,Fishery Type,Other Human Interaction,Other Human Int Description,Other Human Int Type,How Determined: External Exam,How Determined: Internal Exam,How Determined: Necropsy,How Determined: Other,How Determined: Describe,Gear Collection,Other Findings upon Level Y/N,Other Findings - Illness Flag,Other Findings - Injury,Other Findings - Pregnant,Other Findings - Other,Other Findings - Descibe,Other Findings Type,Other Findings - Descibe,Observation Date,How Observed,Observation Status,Not Able to Examine,Date of Examination,Condition at Examination,Left at Site,Immediate Release at Site,Relocated,Disentangled,Euthanized at Site,Died at Site,Transferred to Rehabilitation,Date of Initial Disposition,Rehab Facility Name,Died During Transport,Euthanized During Transport,Other,Other Describe,Sick,Injured,Out of Habitat,Deemed Healthy/Releasable,Abandoned/Orphaned,Inaccesible,Location Hazardous to Animal,Location Hazardous Public,Unknown/CBD ,Condition Other,Condition Other Description,Entangled,Condition Comments,Sex,Age Class,Length,Length Units,Length actual/estimate,Weight,Weight Units,Weight actual/estimate,Photos/Videos Taken,Carcass Left at Site,Carcass Buried,Carcass Rendered,Carcass Towed,Carcass Towed Lattitude,Carcass Towed Longitude,Carcass Sunk,Carcass Sunk Lattitude,Carcass Sunk Longitude,Carcass Frozen for Later Exam,Carcass Landfill,Carcass Unknown,Carcass Other,Carcass Other Description,Necropsied,Necropsy Limited,Date of Necropsy,Additional Remarks,
SW-2007-1066071,SBMNH-2007-04,"Whale, sperm",CA,Santa Barbara,Goleta,500 YARDS NORTH OF GOLETA BEACH PARKING LOT,34.4137,decimal degrees,-119.8396,decimal degrees,CBD,N,N,N,,N,,,,,,,EXTERNAL/INTERNAL EXAMINATION,N,CBD,N,N,,N,,,EXTERNAL/INTERNAL EXAMINATION,4/8/07,Floating,Moderate Decomposition,N,4/10/07,Advanced Decomposition,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,FEMALE,ADULT,999,cm,actual,,,,Y,N,Y,N,N,,,N,,,N,N,N,N,,Y,,4/10/07,NUMEROUS SQUID BEAKS IN STOMACH,
SW-2007-1066107,SBMNH-2007-07,"Whale, minke",CA,Ventura,Ventura,SOUTH END OF SAN BUENAVENTURA STATE BEACH AT SAN PEDRO AVENUE,34.26668,decimal degrees,-119.27793,decimal degrees,CBD,N,N,N,,N,,,,,,,EXTERNAL/INTERNAL EXAMINATION,N,Y,Y,N,,N,SEVERE GASTROENTERITIS,,EXTERNAL/INTERNAL EXAMINATION,4/16/07,Floating,Fresh Dead,N,4/17/07,Fresh Dead,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,FEMALE,PUP/CALF,408,cm,actual,,,,Y,N,Y,N,N,,,N,,,N,N,N,N,,Y,,4/17/07,DOMOIC ACID TOXICITY,
SW-2007-1066643,SBMNH-2007-10,"Whale, gray",CA,San Luis Obispo,Cayucos,"Estero Bluffs, Estero State Beach",35.44692,decimal degrees,-120.94125,decimal degrees,N,N,N,N,,N,,,,,,,EXTERNAL EXAMINATION,N,Y,N,Y,,N,KILLER WHALE PREDATION,Predation,EXTERNAL EXAMINATION,4/23/07,Beach or Land,Moderate Decomposition,N,4/24/07,Moderate Decomposition,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,FEMALE,PUP/CALF,880,cm,estimate,,,,Y,Y,N,N,N,,,N,,,N,N,N,N,,N,,,KILLER WHALE RAKE MARKS ON BODY & PECTORAL FINS,
SW-2007-1069607,LML-ER-2007APR27,"Whale, gray",CA,Santa Cruz,Santa Cruz,AT THE END OF 34TH STREET,36.95623,decimal degrees,-121.97085,decimal degrees,N,N,N,N,,N,,,,,,,EXTERNAL EXAM,N,Y,N,N,,Y,ORCA ATTACK,,EXTERNAL EXAM,4/27/07,Floating,Advanced Decomposition,N,4/27/07,Advanced Decomposition,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,FEMALE,PUP/CALF,0,cm,actual,,,,Y,Y,N,N,N,,,N,,,N,N,N,N,,N,,,EPIDERMIS 1 CENTIMETER THICK,
SW-2007-1077261,TMMC-C-231,"Whale, humpback",CA,Sacramento,SACRAMENTO,"PORT OF SACRAMENTO, SACRAMENTO RIVER DEEP WATER SHIPPING CHANNEL TURNING BASIN",38.560323,decimal degrees,-121.558593,decimal degrees,Y,Y,N,N,,N,,,Y,N,N,N,,N,Y,N,Y,,N,,,,5/9/07,Beach or Land,Alive,N,5/13/07,Alive,N,N,N,N,N,N,N,,,N,N,Y,ANIMAL MONITORED AT SITE,Y,N,N,N,N,N,N,N,N,N,,,MOTHER/CALF PAIR SWAM UP SACRAMENTO RIVER DEEP WATER SHIPPING CHANNEL; IN FRESH WATER FOR SEVERAL DAYS; PROPELLER WOUNDS ON SIDE; CALF OF FIELD# TMMC-C-230,FEMALE,PUP/CALF,500,cm,estimate,,,,Y,N,N,N,N,,,N,,,N,N,N,N,,NA,,,"MOTHER/CALF PAIR SWAM BACK IN OPEN WATER ON 5/30/07; SKIN/GENETICS/S. CHIVERS, NMFS/SWFSC;SKIN/TOXICOLOGY/J. STEIN, ECD; BLUBBER/TOXICOLOGY/J. STEIN, ECD; SKIN/TOXICOLOGY/S. MELIN, NATIONAL MARINE MAMMAL LABORATORY; BLUBBER/TOXICOLOGY/S. MELIN, NATIONAL MARINE MAMMAL LABORATORY; BLUBBER/HISTOLOGY/ROTSTEIN, NMFS",
SW-2007-1077259,TMMC-C-230,"Whale, humpback",CA,Sacramento,SACRAMENTO,SACRAMENTO RIVER DEEP WATER SHIPPING CHANNEL TURNING BASIN,38.560323,decimal degrees,-121.558593,decimal degrees,Y,Y,N,N,,N,,,Y,N,N,N,,N,Y,N,Y,,N,,,,5/9/07,Beach or Land,Alive,N,5/13/07,Alive,N,N,N,N,N,N,N,,,N,N,Y,BEING MONITORED AT SITE,N,Y,Y,N,N,N,N,N,N,N,,,MOTHER/CALF PAIR SWAM UP SACRAMENTO RIVER; IN FRESH WATER FOR SEVERAL DAYS; PROPELLER WOUNDS ON BACK IN FRONT OF DORSAL FIN; MOM TO FIELD# TMMC-C-231,FEMALE,ADULT,1600,cm,estimate,,,,Y,N,N,N,N,,,N,,,N,N,N,N,,NA,,,"LAST DAY OF ANTIBIOTICS 5/26/07; MOTHER/CALF PAIR SWAM BACK INTO OPEN WATER ON 5/30/07 SKIN/GENETICS/S. CHIVERS, NMFS/SWFSC; SKIN/TOXICOLOGY/J. STEIN, ECD; BLUBBER/TOXICOLOGY/J. STEIN, ECD; SKIN/TOXICOLOGY/S. MELIN, NATIONAL MARINE MAMMAL LABORATORY; BLUBBER/TOXICOLOGY/S. MELIN, NATIONAL MARINE MAMMAL LABORATORY; SKIN/HISTOLOGY/ROTSTEIN, NMFS",
SW-2007-1069597,LML-ER-2007MAY11,"Whale, gray",CA,Santa Cruz,Aptos,VIA GAVIOTA,36.95380556,decimal degrees,-121.885956,decimal degrees,N,N,N,N,,N,,,,,,,EXTERNAL EXAM,N,Y,N,N,,Y,ORCA ATTACK,,EXTERNAL EXAM,5/11/07,Beach or Land,Advanced Decomposition,N,5/11/07,Advanced Decomposition,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,UNKNOWN,PUP/CALF,0,cm,actual,,,,N,Y,N,N,N,,,N,,,N,N,N,N,,N,,,ORCA ATTACK...CLEAR MARKINGS. HEAD AND THORAX MOSTLY GONE.,
SW-2007-1078181,TMMC-C-232,"Whale, gray",CA,Contra Costa,RICHMOND,331 WESTON DRIVE,37.923,decimal degrees,-122.39,decimal degrees,N,N,N,N,,N,,,Y,N,N,N,,N,N,N,N,N,N,,,,5/23/07,Beach or Land,Moderate Decomposition,N,5/24/07,Moderate Decomposition,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,FEMALE,PUP/CALF,750,cm,estimate,,,,N,Y,N,N,N,,,N,,,N,N,N,N,,Y,limited,5/24/07,MATERNAL SEPARATION,
SW-2007-1078385,CAS-RB-5836,"Whale, sperm",CA,Marin,,"ABBOTTS LAGOON, POINT REYES NATIONAL SEASHORE",38.118,decimal degrees,-122.959,decimal degrees,N,N,N,N,,N,,,Y,N,N,N,,N,Y,Y,N,N,N,MATERNAL SEPARATION; PNEUMONIA,,,5/28/07,,Fresh Dead,N,5/29/07,Moderate Decomposition,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,MALE,PUP/CALF,390,cm,actual,,,,Y,Y,N,N,N,,,N,,,N,N,N,N,,Y,limited,5/29/07,NO SIGNS OF TRAUMA,
SW-2007-1078489,NONE-ASSIGNED,UNIDENTIFIED WHALE,CA,San Diego,PT. LOMA,5.5 MILES OFF PT. LOMA LIGHTHOUSE,32.569606,decimal degrees,-117.293306,decimal degrees,N,N,N,N,,N,,,Y,N,N,N,,N,N,N,N,N,N,,,,5/31/07,Floating,Moderate Decomposition,N,5/31/07,Moderate Decomposition,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,UNKNOWN,UNKNOWN,420,in,estimate,,,,N,Y,N,N,N,,,N,,,N,N,N,N,,N,,,,
